,0
0,0.90489787
1,0.9068345
2,0.9076739
3,0.9008598
4,0.8501662
5,0.20583302
6,0.8136546
7,0.88962775
8,0.8890857
9,0.20487407
10,0.9082862
11,0.20882727
12,0.8780441
13,0.4406233
14,0.20502469
15,0.5698294
16,0.6554033
17,0.9083334
18,0.9026194
19,0.8919277
20,0.8728065
21,0.20464085
22,0.90802664
23,0.7057322
24,0.20476593
25,0.20475149
26,0.9045714
27,0.85195
28,0.87750286
29,0.21270032
30,0.5150465
31,0.857245
32,0.90824616
33,0.8995236
34,0.8292513
35,0.57369196
36,0.20816603
37,0.20478848
38,0.53301793
39,0.6054021
40,0.67466277
41,0.4729456
42,0.90842086
43,0.90836805
44,0.20585348
45,0.90784603
46,0.90836746
47,0.63093644
48,0.74285984
49,0.20508559
50,0.9083852
51,0.85428554
52,0.7094963
53,0.9083593
54,0.8801955
55,0.9083203
56,0.38502023
57,0.3629036
58,0.26830623
59,0.9013511
60,0.89288396
61,0.5979402
62,0.90800583
63,0.42276752
64,0.20505586
65,0.70854336
66,0.88992316
67,0.9044694
68,0.8614814
69,0.9056825
70,0.90837926
71,0.20684323
72,0.20531078
73,0.75831246
74,0.90814507
75,0.8608937
76,0.8955907
77,0.90773857
78,0.8914316
79,0.519277
80,0.20460533
81,0.90786785
82,0.90040493
83,0.20472796
84,0.58684814
85,0.3238188
86,0.90583265
87,0.8742057
88,0.9003004
89,0.84869176
90,0.9081974
91,0.33110422
92,0.60708743
93,0.20592068
94,0.9084064
95,0.61345005
96,0.90029216
97,0.41317168
98,0.90772206
99,0.35255516
100,0.89858276
101,0.7488031
102,0.8998383
103,0.7401691
104,0.89362395
105,0.8473925
106,0.51791346
107,0.76180416
108,0.89363635
109,0.90839565
110,0.37016577
111,0.9083872
112,0.2047171
113,0.20481074
114,0.90705246
115,0.84941924
116,0.90326774
117,0.37761533
118,0.3484423
119,0.54840297
120,0.8389131
121,0.90836674
122,0.37086615
123,0.9069183
124,0.862118
125,0.7268715
126,0.37147287
127,0.90840846
128,0.90553916
129,0.20817918
130,0.90834
131,0.6275642
132,0.6770523
133,0.20501399
134,0.6099157
135,0.20503546
136,0.20483813
137,0.9009192
138,0.710915
139,0.9084067
140,0.20490485
141,0.90585345
142,0.6130685
143,0.90349793
144,0.20460874
145,0.89977443
146,0.23391664
147,0.70056605
148,0.42618492
149,0.20528245
150,0.8957565
151,0.21983029
152,0.4270661
153,0.81919473
154,0.89363384
155,0.20468715
156,0.2046222
157,0.20519479
158,0.9083705
159,0.20622428
160,0.90318304
161,0.20514888
162,0.9078182
163,0.39623544
164,0.21323009
165,0.8537216
166,0.87285495
167,0.53543913
168,0.35223925
169,0.89334637
170,0.20465267
171,0.76440245
172,0.74723107
173,0.90038484
174,0.8689683
175,0.90302855
176,0.9082447
177,0.9083829
178,0.88382274
179,0.7222011
180,0.9079289
181,0.9014107
182,0.88291246
183,0.85259736
184,0.84029746
185,0.20474412
186,0.9083838
187,0.90819514
188,0.8984396
189,0.20513898
190,0.88911027
191,0.9072214
192,0.9083841
193,0.47937638
194,0.28507206
195,0.20472878
196,0.38714537
197,0.9035522
198,0.85894114
199,0.2046885
200,0.84871584
201,0.90837216
202,0.38305604
203,0.9007096
204,0.89125776
205,0.63817596
206,0.89985555
207,0.60874724
208,0.2055074
209,0.90468156
210,0.20491451
211,0.89451915
212,0.5513256
213,0.90391374
214,0.90806234
215,0.53967315
216,0.9083832
217,0.9001483
218,0.8568598
219,0.2049685
220,0.8562781
221,0.2209025
222,0.20472948
223,0.36942235
224,0.2105974
225,0.90827626
226,0.8932147
227,0.9079208
228,0.8499188
229,0.8833478
230,0.58341163
231,0.57960814
232,0.5297111
233,0.90838003
234,0.20466053
235,0.9083814
236,0.90598416
237,0.41273218
238,0.60981536
239,0.9004452
240,0.9078109
241,0.55044377
242,0.21176876
243,0.8900053
244,0.20501824
245,0.20649448
246,0.8585428
247,0.908385
248,0.8363009
249,0.90827686
250,0.7452686
251,0.90795904
252,0.90838635
253,0.9025326
254,0.20514846
255,0.9005357
256,0.9083661
257,0.89374906
258,0.20518565
259,0.40546882
260,0.9082405
261,0.8923838
262,0.85438347
263,0.44535828
264,0.2048196
265,0.8918356
266,0.6420953
267,0.8642754
268,0.85240746
269,0.5455624
270,0.40709493
271,0.20490682
272,0.9083292
273,0.90668166
274,0.61076057
275,0.90183264
276,0.84947276
277,0.5017688
278,0.9043477
279,0.9084179
280,0.6510283
281,0.905679
282,0.8603817
283,0.8893041
284,0.8567523
285,0.27230003
286,0.75586176
287,0.6099419
288,0.90832514
289,0.6142154
290,0.6633211
291,0.89174634
292,0.908365
293,0.20470284
294,0.41439992
295,0.20907718
296,0.8951342
297,0.90494835
298,0.20524675
299,0.90202403
300,0.90597284
301,0.20474645
302,0.90789336
303,0.55033153
304,0.42459258
305,0.90036464
306,0.9021886
307,0.9083642
308,0.20501296
309,0.81919086
310,0.20470825
311,0.2052751
312,0.90580434
313,0.33228117
314,0.9083215
315,0.85741615
316,0.8912645
317,0.84530133
318,0.8933467
319,0.582656
320,0.44370553
321,0.9084066
322,0.9077065
323,0.49469334
324,0.90668815
325,0.75532055
326,0.9083281
327,0.9014834
328,0.7540167
329,0.9069578
330,0.84322596
331,0.37341228
332,0.84162664
333,0.20498744
334,0.20509692
335,0.90838665
336,0.27919534
337,0.5470512
338,0.9082457
339,0.9082632
340,0.35136813
341,0.8797182
342,0.86313426
343,0.9077869
344,0.9004258
345,0.2046434
346,0.8322506
347,0.4305246
348,0.25525734
349,0.90526783
350,0.86127114
351,0.9007146
352,0.87390363
353,0.61218494
354,0.32691646
355,0.89303154
356,0.90838665
357,0.5894601
358,0.4081377
359,0.20472878
360,0.20479456
361,0.8969404
362,0.9078029
363,0.90120625
364,0.20479704
365,0.9082752
366,0.89493215
367,0.89218795
368,0.8971692
369,0.20467149
370,0.3465234
371,0.9083583
372,0.20495038
373,0.20501326
374,0.32513538
375,0.20951809
376,0.2057747
377,0.895105
378,0.8543194
379,0.9032098
380,0.9082882
381,0.7522876
382,0.88452345
383,0.8954157
384,0.9083818
385,0.20467997
386,0.9048325
387,0.6118984
388,0.9082663
389,0.9082458
390,0.88831383
391,0.20629013
392,0.20499538
393,0.20484401
394,0.20463729
395,0.5406203
396,0.21484259
397,0.7999408
398,0.90839744
399,0.85061634
400,0.60342634
401,0.43804935
402,0.2230532
403,0.90837175
404,0.90577
405,0.90795654
406,0.90826005
407,0.39769492
408,0.89653486
409,0.6210097
410,0.8489822
411,0.89612037
412,0.9034269
413,0.51197517
414,0.44378185
415,0.90406525
416,0.20498008
417,0.41882464
418,0.5915361
419,0.22318015
420,0.37108028
421,0.87348235
422,0.20486149
423,0.90830314
424,0.28489682
425,0.89283156
426,0.9046922
427,0.8964886
428,0.8862512
429,0.26447794
430,0.9073784
431,0.20482293
432,0.9079778
433,0.33522174
434,0.8255134
435,0.20507894
436,0.23496938
437,0.2051685
438,0.9083995
439,0.4525801
440,0.9084179
441,0.61092603
442,0.9000159
443,0.9001875
444,0.53355575
445,0.21037823
446,0.20581436
447,0.5358189
448,0.2048789
449,0.90390986
450,0.9008401
451,0.20484541
452,0.8524488
453,0.89644873
454,0.5537114
455,0.7366363
456,0.205089
457,0.90824777
458,0.9083864
459,0.90432936
460,0.907052
461,0.8395532
462,0.39233282
463,0.88796
464,0.2870502
465,0.9083691
466,0.90822846
467,0.8913747
468,0.8621955
469,0.8924785
470,0.5377087
471,0.8772081
472,0.90068084
473,0.78789836
474,0.89586335
475,0.53750557
476,0.2050232
477,0.90832317
478,0.85097224
479,0.89299893
480,0.8941571
481,0.88896906
482,0.4171669
483,0.6151435
484,0.662787
485,0.41109556
486,0.8991713
487,0.41228545
488,0.3734435
489,0.8932666
490,0.52226967
491,0.9082756
492,0.20491098
493,0.9083882
494,0.9083045
495,0.8859922
496,0.90803075
497,0.8406711
498,0.89140314
499,0.39203474
500,0.853121
501,0.90827674
502,0.3100527
